Warren-94;@WarrenNWA94;1477514786;Le jour ou y'aura un Rohff ft Booba c'est la que les ratpis vont se rendre compte que c'est pas Hercule qui a tué Cell;0;5;3;
Warren-94;@WarrenNWA94;1477342151;1- deja quand t'écoute les 2 albums Rohff il a proposé 20 fois plus de flows que Booba sur ca y'a meme pas a chipoter Rohff donne des leçons;0;14;3;
M5;@M5Yass;1477092508;qd j'étais gamin y avait une fête à l'hôpital Robert Debré y avait Rohff Sinik Omar Sy Booba et tt c pas moi j'attendais Jessy Matador mdr;0;41;15;
Klaus Mikaelson™;@ColonelRTeenda;1477046961;Il a pas voulu le détrôner il a juste pas voulu classer la fouine et Rohff pour Booba et il a raison c'est pas son larbin https://twitter.com/alfoussen_94/status/789417834849984512 …;3;10;6;
Mamadou Baldé  Ⓜ️;@t_kingshiit;1477044433;Quand Booba mangue du "Thiébou Djeune" il touche pas au Rohff;4;141;104;
myou;@94__135;1477039622;rohff > booba https://twitter.com/girlzfenty/status/764241391237132288 …;0;12;4;
Génération 1997;@Hady_dyhagalsen;1477010583;NINHO meilleur du 77 Fouiny 78 Niska 91 BOOBA 92 Sadek 93 ROHFF 94 Youssoupha 95 Mister You 75;6;20;6;
SIMBA;@Mowgli_duSud;1477000518;Dans l'ensemble de leur carrière, Rohff >>> Booba;0;34;15;
catastrohff;@lastacass;1476906232;Mdr mais inshallah un jour rohff ou kaaris ils croisent booba histoire de bien le remettre a sa ptite place ki est la table des zoulettes la;0;21;11;
m;@m_maegm;1476888778;Rohff c un adulte il a compris que ya autre chose dans la vie que les réseaux sociaux, Booba et Kaaris c'est des gamins https://twitter.com/ouaisalut_/status/788640177539407872 …;0;7;10;
tempura;@OuaiSalut_;1476861445;Kaaris n'est pas plus fort que Rohff mais il gère mieux son image et ses Réseaux sociaux c'est pour ça que Booba n'arrive pas à l'enterrer;11;434;118;
The Homeboys;@simon__adebisi;1476829649;Ptdr les "Booba il a pas l'temps il clash pr delirer" mdr on parle bien du mec qui a DM un twittos pour lui demander des montages sur Rohff?;0;19;5;
10;@b_djaan93;1476826844;Hâte que rohff ou kaaris croise votre booba un jour pour qu'il vous montre à quel point c'est une zoulette ce type;0;88;22;
Ayman Aym's;@Kawhi94;1476804471;Rohff il aurait fait ce que Booba vient d'faire , vous serai déjà tous en train d'le tailler mais brf;1;43;11;
Edu;@EduBrigante;1476804193;booba il repousse un peu plus le malaise chaque jour rohff fait pas 1% de la gène que crée booba;4;49;18;
Aly  ✌;@Aly_tn23;1476790883;Si c'est rohff qui s'embrouille avec une meuf ici t'aurais entendu des "rohff miskine il fait pitié, il force" mais vu que c'est booba.....;1;26;13;
The Homeboys;@simon__adebisi;1476789885;Booba ya 7 ans "Jsuis trop haut pour les clashs" Booba en 7 ans : clash avec Rohff/la Fouine/Kaaris/Joey Starr/Manaudou/Fanny Neguesha;2;104;17;
Warren-94;@WarrenNWA94;1476788461;nous on sera content quand Rohff va sortir Surnaturel, Booba voila quoi la table des zoulettes c'est à vie j'pense https://twitter.com/Overrated_94/status/788278980528971780 …;0;14;16;
#PassementdeJambes;@NinoC63;1476780925;Booba quand Rohff a insulter sa mere quand Kaaris la menacer il a parler vietmanien mais pour embrouiller l'ex a Balo il est la;0;58;13;
Génération 1997;@Hady_dyhagalsen;1476667808;Rohff >>>Booba;0;1;1;
Reezy_Lucazz_93;@Reezy_Lucazz93;1476656543;y'a un gars il avait dit un truc très vrai : Rohff saurait faire ce que Booba fait mais Booba saurait pas faire ce que Rohff fait;1;19;10;
panthéon;@MalkoBras;1476652072;Rohff auparavant >biggy+booba Nie le et jte fais d... — lol http://curiouscat.me/621176538/post/32982354 …;0;2;1;
Periscope Clash;@Peri_Clash;1476649032;Coco Tkt Clash Rohff, Booba et Demon One sur Periscope http://ift.tt/2dgEiam ;0;2;0;
Lincoln Clay;@ALDRmsb;1476623397;@Glaady_b booba par rapport a son niveau d'avant il est nul rohff avc ce genre d'instru ou même des instru plus trap il peut enterré le duc;2;0;1;
eth;@ethem_ipnr;1476621505;Tetai pour ki o moment des clash booba/la fouine/ rohff https://twitter.com/ardflow/status/779401762658742272 …;0;1;2;
Thaarse;@Thaarse;1476620462;J'aime une vidéo @YouTube : "Booba vs Rohff vs Kaaris dans TPMP (2016)" à l'adresse http://youtu.be/djJB1UZgs_Q?a .;0;0;0;
Killuminaty Smg;@KLGohfhamas;1476620280;@Ranger78724682 @lastacass mais t'es un ouuuuuuffffffffff mdr regarde Rohff en freestyle c'est 30 min sans pause, booba 2min essouffler...;1;3;0;
catastrohff;@lastacass;1476619839;@Ranger78724682 @KLGohfhamas nan mais deja a lepoquer rohff etait bien plus fort que booba;1;0;1;
Elayid;@ElayidModric;1476606446;Rohff ou Booba — Rohff a la base mais depuis quelques années Booba. http://curiouscat.me/Madrid10ta/post/32808792 …;0;0;0;
REYES DE EUROPA;@Adam_TBZ;1476579522;On aura beau dire mais malgré les gros classiques de Rohff et La Fouine, Booba fait parti de l'histoire de rap francais, voir le numéro 1.;1;0;3;
Génération 1997;@Hady_dyhagalsen;1476574598;Quand dosseh il dit "Assied toi à notre " dans 1 feat avec Booba c'est normal que Rohff va parlé de Table des zoulettes;0;0;0;
#liberezlacrim  🔫;@pixeh_;1476574467;@lastacass @Rawls___ tout le monde est persuadé que booba a terminé la carrière de rohff ça leur ferait trop mal d'avouer le contraire;1;1;0;
Madara;@btz_k;1476570675;Osez me dire que les concerts de Rohff sont mieux que ceux de Booba bande de fou https://twitter.com/KaaisDz/status/680746878498156548 …;0;2;0;
iften;@titenos;1476569784;Mauvais garçon de booba c'est puissant on dirait presque du Rohff;0;1;0;
Tu me déranges trop;@Mllnv_;1476567693;Booba mais Rohff aussi c'est un bon https://twitter.com/rajvosa_/status/787384458949320704 …;1;1;0;
Khadi;@AybKhadi;1476562591;Quand je passe d'un gros son de Booba ou Rohff à sourate Al Kahf récitée par Maher El Mueqaly comment je suis dans le mal;0;1;8;
Zam's;@Zamseuh;1476554422;Les mecs qui te disent rohff > Booba ils connaissen... — Ça depend http://curiouscat.me/318569379/post/32517238 …;0;0;0;
sylla younouss;@SyYounoussou;1476550634;@anarcissic @fan2ballon Booba a apporté quoi aux jeunes, son message c'est quoi? Rohff il a ces travers mais il a apporté sa pierre au rap;1;1;0;
Spooky VNR Anto-Wan;@AntoWanN7;1476531730;#NowPlaying C'est nous la rue de Booba, Rohff, Rim'K ♫ http://spoti.fi/2dWKBx5 ;0;0;0;
️;@_Eliasok;1476526684;Sch Lacrim Booba Rohff ect.. J’arrive plus à ecouter depuis j'ai découvert PNL wallah je saigne h24 les même sons et j'en ai pas marre;1;29;18;
La mala non merce .;@Krystel_Alnz;1476526121;Kaaris Booba Rohff YEURME;0;0;0;
klaw juice  🍊;@Sco0oba;1476512262;Rohff il di que Booba fait pas croquer mais regarder tt les feat que Booba a fait a votre avis qui a fait plus de feat ?;0;0;0;
#RPD;@NfanssPda;1476494470;Kaaris, La fouine, Rohff & Booba c'est vraiment les meilleur rappeur de France j'crois;0;3;1;
Truand 2 la galère;@YahBerberBoy;1476488984;J'ai jamais vraiment aimé Booba, c'est à cause de Sam si j'ecoute ses sons depuis peu de temps mais soyons honnête, Rohff fais pas le poids.;0;0;0;
Mel;@_ysmel;1476480168;Rohff il a toujours fumé Booba c pas mtn que ca va changer;0;5;3;
Amine Al-Manzo;@AlmanzoQ;1476475750;Rohff ou Booba Préférence . — Booba http://curiouscat.me/AlmanzoQ/post/32199409 …;0;0;0;
